compound_id,smiles
ZINC000000000036,O=C(O)[C@@H](O)c1ccccc1
ZINC000000000052,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3
ZINC000000000187,COc1cc(O)c(C(=O)c2ccccc2)c(O)c1
ZINC000000000490,COC(=O)c1ccccc1O
ZINC000000000558,NC[C@@H](O)c1ccc(O)cc1
ZINC000000000566,COc1ccc2ccc(=O)oc2c1CC=C(C)C
ZINC000000000706,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3
ZINC000000000733,CNC[C@@H](O)c1ccc(O)cc1
ZINC000000000857,Oc1ccc(C[C@@H]2NCCc3cc(O)c(O)cc32)cc1
ZINC000000000867,CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12
ZINC000000000882,Nc1ncnc2[nH]cnc12
ZINC000000000920,Nc1ccc(C(=O)O)cc1
ZINC000000000949,COc1ccc(-c2cc(=S)ss2)cc1
ZINC000000000954,COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1
ZINC000000001011,O=C(O)c1ccccc1
ZINC000000001021,O=C(OCc1ccccc1)c1ccccc1
ZINC000000001082,C[n+]1cccc(C(=O)O)c1
ZINC000000001083,O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1
ZINC000000001084,Cn1c(=O)c2c(ncn2C)n(C)c1=O
ZINC000000001392,CCOC(=O)c1ccc(O)cc1
ZINC000000001411,C=CCc1ccc(O)c(OC)c1
ZINC000000001412,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1O
ZINC000000001419,Cc1c(O)c(C)c2c(c1O)C(=O)C[C@H](c1ccc(O)cc1)O2
ZINC000000001451,COc1cc(O)cc(O)c1
ZINC000000001490,Cc1cccc(C)c1NC(=O)c1ccccc1C(=O)O
ZINC000000001504,O=C(O)c1cc(O)c(O)c(O)c1
ZINC000000001507,O=C(O)c1cc(O)ccc1O
ZINC000000001536,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1
ZINC000000001554,O=C(O)c1ccccc1O
ZINC000000001645,C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1
ZINC000000001677,CC1=CC(=O)c2ccccc2C1=O
ZINC000000001712,COC(=O)c1ccc(O)cc1
ZINC000000001748,Oc1ccc(OCc2ccccc2)cc1
ZINC000000001758,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2
ZINC000000001795,O=C(O)c1cccnc1
ZINC000000001890,CCC(=O)c1ccc(O)cc1
ZINC000000001904,CC(C)=CCOc1c2occc2cc2ccc(=O)oc12
ZINC000000001906,COc1ccc(C(C)=O)c(O)c1
ZINC000000001927,N[C@H](Cc1ccccc1)C(=O)O
ZINC000000002028,Oc1cccc(O)c1
ZINC000000002054,OCc1ccccc1O
ZINC000000002067,COc1cc2ccc(=O)oc2cc1OC
ZINC000000002151,Cn1cnc2c1c(=O)[nH]c(=O)n2C
ZINC000000002233,NCCc1ccc(O)cc1
ZINC000000003182,Cc1cnc(C)cn1
ZINC000000003837,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O
ZINC000000004042,Cc1nc(C)c(C)nc1C
ZINC000000005878,NC(=O)c1cccnc1
ZINC000000005954,COc1cccc2oc(-c3ccccc3)cc(=O)c12
ZINC000000006256,O=C1c2ccccc2-c2c3c(cc4ccnc1c24)OCO3
ZINC000000006787,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
ZINC000000007267,COC(=O)c1c2c(c3ccccc3c1O)OC(C)(C)C=C2
ZINC000000011544,COc1ccc2c(c1)O[C@H]1c3ccc(O)cc3OC[C@@H]21
ZINC000000012342,C[C@@H](Cc1ccc(O)c(O)c1)[C@H](C)Cc1ccc(O)c(O)c1
ZINC000000013245,O=Cc1ccc(O)c(O)c1
ZINC000000013246,O=C(O)c1ccc(O)c(O)c1
ZINC000000014036,Oc1cc(O)cc(/C=C/c2ccc(O)c(O)c2)c1
ZINC000000020244,CN(C)CCOC(c1ccccc1)c1ccccc1
ZINC000000021789,COC(=O)c1cc(O)c(O)c(O)c1
ZINC000000021790,CCOC(=O)c1cc(O)c(O)c(O)c1
ZINC000000025672,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
ZINC000000028040,C/C=C(/C)C(=O)O[C@@H]1Cc2c(ccc3ccc(=O)oc23)OC1(C)C
ZINC000000028114,CCOC(=O)c1cc2ccccc2oc1=O
ZINC000000031963,CN1C[C@@H]2C[C@H](C1)c1cccc(=O)n1C2
ZINC000000033882,NCCc1ccc(O)c(O)c1
ZINC000000034930,Cc1cc(=O)oc2ccc(O)cc12
ZINC000000035525,COc1ccc2c(OC)c3ccoc3nc2c1OC
ZINC000000035527,COc1c2ccoc2nc2c(OC)c(OC[C@H](O)C(C)(C)O)ccc12
ZINC000000038028,CC(=O)c1ccc(O)cc1O
ZINC000000038933,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12
ZINC000000039089,CNC[C@H](O)c1ccc(O)c(O)c1
